date,action,company,yahoo_ticker,currency,num_shares,stock_price_usd,trading_costs_usd,total_usd,total_shares_held,return
"06/02/2022, 14:08:35",BUY,PVH,PVH,USD,140,71.11000061,0,9955.400085,140,
"06/03/2022, 07:41:01",SELL,PVH,PVH,USD,140,72.47,0,-10145.8,0,
"06/03/2022, 07:41:01",BUY,AVGO,AVGO,USD,17,568.9949951,0,9672.914917,17,
"06/06/2022, 12:56:31",SELL,AVGO,AVGO,USD,17,563.35,0,-9576.95,-17,
"06/06/2022, 12:56:31",BUY,FB,FB,USD,51,192.3729315,0,9811.019507,51,
"06/06/2022, 13:06:40",SELL,FB,FB,USD,51,196.09,0,-10000.59,-51,
"06/06/2022, 13:06:40",BUY,FRT,FRT,USD,90,110.2907991,0,9926.171923,90,
"06/06/2022, 14:29:38",SELL,FRT,FRT,USD,90,110.32,0,-9928.8,-90,
"06/06/2022, 14:29:38",BUY,SJM,SJM,USD,81,122.2600021,0,9903.060173,81,
"06/07/2022, 07:33:59",SELL,SJM,SJM,USD,81,129.5,0,-10489.5,-81,
"06/07/2022, 07:33:59",BUY,TXT,TXT,USD,148,67.33499908,0,9965.579865,148,
"06/07/2022, 07:46:11",SELL,TXT,TXT,USD,148,67.7,0,-10019.6,-148,
"06/07/2022, 07:46:11",BUY,IR,IR,USD,201,49.74000168,0,9997.740337,201,
"06/07/2022, 07:57:49",SELL,IR,IR,USD,201,49.949,0,-10039.749,-201,
"06/07/2022, 07:57:49",BUY,IR,IR,USD,200,49.96500015,0,9993.000031,200,
"06/07/2022, 08:43:31",SELL,IR,IR,USD,200,50.075,0,-10015,-200,
"06/07/2022, 08:43:31",BUY,WAB,WAB,USD,105,94.38999939,0,9910.949936,105,
"06/07/2022, 08:55:33",SELL,WAB,WAB,USD,105,94.44,0,-9916.2,-105,
"06/07/2022, 08:55:33",BUY,TXT,TXT,USD,146,68.13500214,0,9947.710312,146,
"06/07/2022, 09:08:08",SELL,TXT,TXT,USD,146,68.33,0,-9976.18,-146,
"06/07/2022, 09:08:08",BUY,ABT,ABT,USD,86,116.0131269,0,9977.128909,86,
"06/07/2022, 09:19:51",SELL,ABT,ABT,USD,86,116.0131269,0,-9977.128909,-86,
"06/07/2022, 09:19:51",BUY,ANET,ANET,USD,96,104.0800018,0,9991.680176,96,
"06/07/2022, 09:32:09",SELL,ANET,ANET,USD,96,104.06,0,-9989.76,-96,
"06/07/2022, 09:32:09",BUY,WRB,WRB,USD,139,71.90000153,0,9994.100212,139,
"06/07/2022, 09:47:54",SELL,WRB,WRB,USD,139,71.90000153,0,-9994.100212,-139,
"06/07/2022, 09:47:54",BUY,IR,IR,USD,198,50.34999847,0,9969.299698,198,
"06/07/2022, 10:02:02",SELL,IR,IR,USD,198,50.38,0,-9975.24,-198,
"06/07/2022, 10:02:02",BUY,MOH,MOH,USD,35,285.5848071,0,9995.46825,35,
"06/07/2022, 10:16:49",SELL,MOH,MOH,USD,35,286.12,0,-10014.2,-35,
"06/07/2022, 10:16:49",BUY,AVY,AVY,USD,55,181.4299927,0,9978.649597,55,
"06/07/2022, 10:31:29",SELL,AVY,AVY,USD,55,181.55,0,-9985.25,-55,
"06/07/2022, 10:31:29",BUY,STE,STE,USD,44,225.5399933,0,9923.759705,44,
"06/07/2022, 10:46:10",SELL,STE,STE,USD,44,226.44,0,-9963.36,-44,
"06/07/2022, 10:46:10",BUY,IR,IR,USD,197,50.51499939,0,9951.45488,197,
